Name,Country,Region,Winery,Rating,NumberOfRatings,Year,Price
Bordeaux Rouge 2015,France,Bordeaux,Château Vircoulon,3.2,122,2015,8.95
Terroir Series Cabernet Sauvignon 2016,Argentina,Mendoza,Kaiken,3.7,122,2016,10.24
Barbera d'Alba Maria Gioana 2015,Italy,Barbera d'Alba,Giacosa Fratelli,4.0,122,2015,14.62
Blauer Spätburgunder 2013,Germany,Baden,Ziereisen,3.4,122,2013,11.31
Châteauneuf-du-Pape (Tradition) Rouge 2010,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.1,122,2010,49.95
Rosso di Montepulciano 2018,Italy,Rosso di Montepulciano,Tenuta di Gracciano della Seta,3.9,122,2018,8.53
Monti Garbi Valpolicella Ripasso Superiore 2017,Italy,Valpolicella Ripasso,Tenuta Sant'Antonio,3.9,1220,2017,9.95
Cabernet Sauvignon (Cs) 2016,United States,Columbia Valley,Substance,3.8,1221,2016,21.80
Rocca Rubia Riserva Carignano del Sulcis 2016,Italy,Carignano del Sulcis,Santadi,4.1,1222,2016,15.08
Rioja Gran Reserva 2011,Spain,Rioja,Marqués de Cáceres,4.0,1225,2011,17.69
Crianza 2014,Spain,Rioja,Rioja Vega,3.5,1226,2014,7.99
Saint-Julien (Grand Cru Classé) 2007,France,Saint-Julien,Château Léoville Barton,4.1,1227,2007,76
Moulis-en-Médoc 2012,France,Moulis-en-Médoc,Château Poujeaux,3.9,1227,2012,31.19
Saint-Julien (Grand Cru Classé) 2008,France,Saint-Julien,Château Léoville Barton,4.2,1228,2008,76.95
Poggio ai Ginepri Bolgheri 2017,Italy,Bolgheri,Tenuta Argentiera,3.9,1228,2017,11.90
Selección Especial (Reserva) 2015,Spain,Rioja,Muga,4.3,1229,2015,26.32
Dragone Rosso 2016,Italy,Calabria,Lento,3.8,123,2016,13.42
Lily's Garden Shiraz 2017,Australia,McLaren Vale,Two Hands,4.2,123,2017,49
LZ Rioja 2018,Spain,Rioja,Telmo Rodriguez,3.5,123,2018,8.75
Estate Selection Cabernet Sauvignon - Merlot 2017,Slovenia,Podravje,Puklavec Family Wines,3.6,123,2017,8.99
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2011,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.2,123,2011,109
Garnatxa 2018,Spain,Catalunya,Segura Viudas,3.1,123,2018,6.25
Reserve Spéciale Cabernet - Merlot 2017,France,Pays d'Oc,Philibert du Charme,4.0,123,2017,6.61
Reserva Tinto 1999,Portugal,Alentejo,Marquês de Borba,4.5,123,1999,50.20
Châteauneuf-du-Pape Chaupin 2010,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.4,123,2010,98
Margaux 2016,France,Margaux,Château Rauzan-Gassies,4.0,123,2016,88
Tempranillo Valencia 2018,Spain,Valencia,Radio Boca,3.4,123,2018,5.15
Pézenas 2017,France,Pézenas,Mas des Mas,3.7,123,2017,16.79
Les Vieilles Vignes Volnay 2015,France,Volnay,Vincent Girardin,3.9,123,2015,48.10
Conteisa Langhe 2011,Italy,Langhe,Gaja,4.2,123,2011,219
Kanai Riserva Carignano del Sulcis 2015,Italy,Carignano del Sulcis,Sardus Pater,3.8,123,2015,16.57
Paxxo 2017,Italy,Veneto,Stefano Accordini,4.1,123,2017,19.40
Petit Jaug Margaux 2012,France,Margaux,Clos du Jaugueyron,3.9,123,2012,25
Alentejano Reserva Tinto 2016,Portugal,Alentejano,Herdade dos Grous,4.3,123,2016,37.90
Haut-Médoc 2005,France,Haut-Médoc,Château Tour du Haut Moulin,3.7,123,2005,27.95
Odé d'Aydie Madiran 2016,France,Madiran,Château d'Aydie,3.7,123,2016,12.90
Instinct Parcellaire Côtes de Provence 2015,France,Côtes de Provence,Château des Bormettes,3.7,123,2015,21.93
Rosso di Montalcino Banditella 2016,Italy,Rosso di Montalcino,Col d'Orcia,3.8,123,2016,18.50
Eremo San Quirico 2016,Italy,Irpinia Campi Taurasini,Nativ,4.2,1232,2016,17.45
Rioja Reserva 2009,Spain,Rioja,Luis Cañas,3.9,1233,2009,34.99
De Chiripa 2017,Spain,Ribera del Duero,Valderiz,3.6,124,2017,15.27
Colección Crianza 2013,Spain,Navarra,Castillo de Enériz,4.1,124,2013,12.30
Leradici Barbera d'Asti 2018,Italy,Barbera d'Asti,Mauro Molino,4.0,124,2018,15.47
Merlot 2017,Israel,Galilee,Gamla,3.9,124,2017,15.05
Barolo Pajana 2011,Italy,Barolo,Domenico Clerico,4.2,124,2011,63.92
Al-Muvedre Tinto Monastrell 2018,Spain,Alicante,Telmo Rodriguez,3.6,124,2018,6.95
Geremia Toscana 2013,Italy,Toscana,Rocca di Montegrossi,4.1,124,2013,29.95
Margaux (Grand Cru Classé) 2017,France,Margaux,Château Giscours,3.8,124,2017,70.19
Saint-Estèphe 2016,France,Saint-Estèphe,Château Le Crock,4.0,124,2016,38.25
Monopole 'Clos des Langres' Rouge 2014,France,Côte de Nuits Villages,Ardhuy,4.2,124,2014,35.50
Barolo Brunate 2011,Italy,Barolo,Vietti,4.4,124,2011,144.53
The Long Walk Shiraz 2018,South Africa,Western Cape,Footprint,3.5,124,2018,6.50
Cabernet Sauvignon 2015,South Africa,Stellenbosch,Zevenwacht,3.8,124,2015,13.82
País 2015,Chile,Itata Valley,Viña La Causa,3.8,124,2015,11.55
Rouge 2015,France,Gard,Roc d'Anglade,3.9,124,2015,36.46
La Napoleon Beaujolais Villages 2017,France,Beaujolais-Villages,Clotaire Michal,3.8,124,2017,35
Vi de Vila Gratallops 2017,Spain,Priorat,Álvaro Palacios,4.3,124,2017,47.95
Shiraz 2017,Australia,McLaren Vale,Jim Jim,3.4,124,2017,11.60
Domaine De Cigalus Red 2018,France,Vin de Pays,Gérard Bertrand,4.1,124,2018,32.75
Reserva Malbec 2017,Argentina,Patagonia,Bodega del Fin del Mundo,3.8,1242,2017,13.69
Haut-Médoc 2012,France,Haut-Médoc,Château Sociando-Mallet,4.0,1243,2012,52.35
Tempranillo 2018,Spain,Rioja,Dinastía Manzanos,3.7,1246,2018,5.43
Primitivo Salento Pilùna 2018,Italy,Salento,Castello Monaci,4.0,1247,2018,6.90
Koonunga Hill Shiraz - Cabernet 2018,Australia,South Australia,Penfolds,3.7,1249,2018,10.60
Adénzia Rosso 2016,Italy,Sicilia,Baglio del Cristo di Campobello,4.0,125,2016,13.40
Chianti Classico 2017,Italy,Chianti Classico,Dievole,3.6,125,2017,16.90
Memorious Pinot Noir 2016,United States,Sta. Rita Hills,Domaine de la Côte,4.0,125,2016,54
Batonnage (Red Scorpion) 2016,Austria,Niederösterreich,Scheiblhofer,4.4,125,2016,149
l'Equilibre 2016,France,Languedoc-Roussillon,Villa Symposia,3.7,125,2016,8.72
Rouge (Estate Reserve) 2011,South Africa,Stellenbosch,Morgenster Estate,4.2,125,2011,36.50
Alàuda 2015,Italy,Toscana,Ruffino,4.5,125,2015,106.89
Parcela 12 Graciano 2016,Spain,Castilla,Finca Constancia,3.8,125,2016,8.99
Copertino 2016,Italy,Copertino,Doppio Passo,4.1,125,2016,8.77
Le Different de Chateau de Ferrand Saint Emilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château de Ferrand,4.1,125,2015,21
Haut-Médoc 2015,France,Haut-Médoc,Château d'Aurilhac,3.6,125,2015,13.50
Caroso Montepulciano d'Abruzzo Riserva 2015,Italy,Montepulciano d'Abruzzo,Citra,3.9,125,2015,13.55
Ermitage Le Pavillon 2000,France,Hermitage,M. Chapoutier,4.6,125,2000,419.95
Matallana 2010,Spain,Ribera del Duero,Telmo Rodriguez,4.0,125,2010,81.95
Alfredo Dried Grape Shiraz 2016,Australia,South Australia,Nugan,3.8,125,2016,22.59
Rocche di Castiglione Barolo 2011,Italy,Barolo,Brovia,4.2,125,2011,66.45
Toscano Rosso 2016,Italy,Toscana,Famiglia Castellani,4.0,125,2016,5.43
Annonce Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.1,125,2014,53.61
Messiio Maremma Toscana 2015,Italy,Maremma Toscana,Fertuna,4.1,125,2015,21.24
Tempranillo 2017,Spain,Castilla,Conde Pinel,3.4,125,2017,4.86
Ventoux Artemia 2015,France,Ventoux,Château Pesquie,4.0,125,2015,32.90
Cabernet Sauvignon 2017,United States,California,Wines from Hahn Estate,3.7,1250,2017,19.20
Bourgogne Pinot Noir 2015,France,Bourgogne,Bouchard Père & Fils,3.5,1252,2015,44.59
Tupungato Passo Doble Malbec - Corvina 2009,Argentina,Tupungato,Masi,3.5,1252,2009,13.69
Reserva de Propiedad 2016,Chile,Maipo Valley,Haras de Pirque,3.5,1253,2016,9.99
Saint-Julien (Grand Cru Classé) 2005,France,Saint-Julien,Château Léoville Poyferré,4.4,1254,2005,139.95
Bordeaux Supérieur 2015,France,Bordeaux Supérieur,Château Croix Mouton,3.7,1254,2015,14.57
Chianti Classico 2015,Italy,Chianti Classico,Tenuta Perano,3.8,1255,2015,16.08
Alandra Tinto 2018,Portugal,Alentejo,Esporão,3.3,1258,2018,4.75
Gran Sangre de Toro Reserva 2015,Spain,Catalunya,Torres,3.7,1258,2015,9.90
Rubesco Rosso di Torgiano 2013,Italy,Torgiano,Lungarotti,3.5,1259,2013,11.65
Reserve Cabernet Sauvignon 2014,South Africa,Stellenbosch,Anura,3.9,126,2014,16.60
Les Terroirs Vieux Carignan 2017,France,Hérault,Calmel & Joseph,3.7,126,2017,9.90
Chianti Superiore 2018,Italy,Chianti,Castello del Trebbio,3.8,126,2018,13.33
Casalferro Toscana 2016,Italy,Toscana,Ricasoli,4.0,126,2016,39.90
Barbera d'Alba Trevigne 2009,Italy,Barbera d'Alba,Domenico Clerico,3.7,126,2009,16.39
Pelagrilli Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Siro Pacenti,4.2,126,2014,51.90
50 & 50 2014,Italy,Toscana,Capannelle,4.3,126,2014,95.70
Wiener Trilogie 2016,Austria,Wien,Wieninger,3.7,126,2016,12.87
Gattinara Tre Vigne 2014,Italy,Gattinara,Travaglini,4.1,126,2014,38.70
Ocra Bolgheri Rosso 2017,Italy,Bolgheri,Tenute Guicciardini Strozzi,3.9,126,2017,21.95
Message in a Bottle Rosso 2018,Italy,Toscana,Tenuta Il Palagio,3.7,126,2018,14.55
Bricco Dei Merli Barbera d'Alba 2015,Italy,Barbera d'Alba,Elvio Cogno,3.8,126,2015,13.95
Lacrima di Morro d'Alba 2018,Italy,Lacrima di Morro d'Alba,Conti di Buscareto,3.4,126,2018,7.58
Coevo Toscana 2013,Italy,Toscana,Cecchi,4.2,126,2013,59.02
Amarone della Valpolicella Case Vecie 2013,Italy,Amarone della Valpolicella Classico,Brigaldara,4.0,126,2013,36.75
Syrah Sicilia 2018,Italy,Sicilia,Feudo Arancio,3.8,126,2018,6.75
Cabernet Sauvignon 2017,Australia,Riverina,Richland,3.5,126,2017,9.78
Collezione di Famiglia Syrah Terre Siciliane 2018,Italy,Terre Siciliane,Barone Montalto,4.1,126,2018,8.32
Tre 2017,Italy,Toscana,Brancaia,3.6,126,2017,11.50
Haut-Médoc 2010,France,Haut-Médoc,Château Sénéjac,3.7,1262,2010,35.95
Saint-Julien (Grand Cru Classé) 2011,France,Saint-Julien,Château Léoville Poyferré,4.2,1264,2011,109
Plumbago Nero d'Avola Sicilia 2017,Italy,Sicilia,Planeta,3.7,1264,2017,10.50
Chianti Classico Vigneto Gran Selezione San Lorenzo 2013,Italy,Chianti Classico,Castello di Ama,3.9,1265,2013,31.53
Foradori - Teroldego 2015,Italy,Vigneti delle Dolomiti,Foradori,3.8,1269,2015,19.50
Haut-Médoc 2015,France,Haut-Médoc,Château Arnauld,4.1,127,2015,43.39
Réserve Royale Saperavi 2015,Georgia,Kakheti,Mukhrani,4.4,127,2015,32.90
Tinto Reserva 2016,Portugal,Dão,Fonte do Ouro,4.0,127,2016,11.75
Petit Albet Penedès Rouge 2018,Spain,Penedès,Albet i Noya,3.2,127,2018,7.95
Camelot 2014,Italy,Terre Siciliane,Firriato,4.1,127,2014,29.99
Kaleidoscope 2018,South Africa,Stellenbosch,Kaapzicht,3.3,127,2018,7.90
Syrah 2015,South Africa,Cape Agulhas,Lands End,3.6,127,2015,9.90
Edición Limitada M 2016,Chile,Colchagua Valley,Caliterra,4.1,127,2016,14.57
Kennedy Grenache - Shiraz - Mourvedre 2017,Australia,Barossa Valley,Sons of Eden,3.9,127,2017,26.81
Collio Cabernet Sauvignon 2017,Italy,Collio,Marco Felluga,3.7,127,2017,15.99
Envero Carmenère Gran Reserva 2017,Chile,Colchagua Valley,Apaltagua,3.8,1270,2017,14.50
Casamatta Toscana Rosso 2016,Italy,Toscana,Bibi Graetz,3.5,1270,2016,8.14
Brunello di Montalcino 2012,Italy,Brunello di Montalcino,Fanti,4.2,1270,2012,30.71
Saint-Estèphe (Grand Cru Classé) 2010,France,Saint-Estèphe,Château Lafon-Rochet,4.1,1272,2010,55
The Butcher Cuvée 2017,Austria,Neusiedlersee,Schwarz,3.8,1273,2017,25.50
Saint-Estèphe 2009,France,Saint-Estèphe,Château Haut-Marbuzet,4.3,1274,2009,62.39
The Banished Dark Red 2018,Australia,South Eastern Australia,19 Crimes,4.0,1274,2018,11.49
Rosso di Montepulciano 2015,Italy,Rosso di Montepulciano,Poliziano,3.7,1274,2015,9.95
Nero d'Avola Terre Siciliane 2017,Italy,Terre Siciliane,Tenuta Rapitalà,3.4,1275,2017,6.75
Cabernet Sauvignon 2016,Chile,Aconcagua Valley,Arboleda,3.9,1275,2016,15.50
Crianza Rioja 2015,Spain,Rioja,Ramón Bilbao,3.8,12778,2015,8.95
Primitivo 2018,Italy,Puglia,Terre di Montelusa,3.8,128,2018,4.90
Reserva Merlot 2016,Chile,Maipo Valley,Santa Rita,3.3,128,2016,9.65
Bricco della Bigotta Barbera d'Asti 2013,Italy,Barbera d'Asti,Braida,4.2,128,2013,45
Cantus Primus Cabernet Sauvignon 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.8,128,2015,18.90
Sassorosso Grumello Valtellina Superiore 2016,Italy,Valtellina Superiore,Nino Negri,3.8,128,2016,16.51
Agneau Rouge Bordeaux 2018,France,Bordeaux,Baron Philippe de Rothschild,3.5,128,2018,6.05
Selkirk Shiraz 2016,Australia,Langhorne Creek,Bremerton,3.9,128,2016,18.03
Finca San Martín Crianza 2016,Spain,Rioja,La Rioja Alta,3.6,128,2016,10.91
Edición Limitada A 2016,Chile,Colchagua Valley,Caliterra,4.1,128,2016,16.50
Crianza 2014,Spain,Toro,Muruve,3.6,128,2014,10.93
Chianti 2015,Italy,Chianti,Principe Strozzi,3.4,128,2015,17.40
Chianti 2018,Italy,Chianti,Castello di Gabbiano,3.5,128,2018,8.25
Spätburgunder 2017,Germany,Pfalz,Rings,3.6,128,2017,11.50
Prados Fusión Garnacha - Syrah 2018,Spain,Campo de Borja,Pagos del Moncayo,3.7,128,2018,9.49
Estate Red (Cabernet Sauvignon - Shiraz) 2016,South Africa,Stellenbosch,Kaapzicht,3.9,128,2016,10.45
Barrel Selection Merlot 2017,Argentina,Uco Valley,Salentein,4.0,128,2017,13.43
Tempranillo 2018,Spain,Castilla y León,Venta Morales,3.5,128,2018,7.40
Pinot Nero 2017,Italy,Südtirol - Alto Adige,Castel Sallegg,3.5,128,2017,13.95
Dedicato Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,3.9,128,2013,15.55
Tortoniano Barolo 2006,Italy,Barolo,Michele Chiarlo,3.9,128,2006,29.19
Iirrésistible Côtes de Provence 2015,France,Côtes de Provence,Domaine de la Croix,3.8,128,2015,29
Diamond Collection/Selection Shiraz 2019,Australia,South Eastern Australia,Rosemount,3.7,128,2019,5.95
Malleolus 2017,Spain,Ribera del Duero,Emilio Moro,4.3,1281,2017,27.05
No Name 2015,Italy,Piemonte,Borgogno,4.0,1285,2015,25.55
Blacksmith Cabernet Sauvignon 2017,Australia,Barossa,Langmeil,3.9,129,2017,16.90
Ocho y Medio Malbec 2018,Spain,La Mancha,Finca La Estacada,3.6,129,2018,5.49
Riscal Roble Tempranillo 2013,Spain,Castilla y León,Marqués de Riscal,3.4,129,2013,6.39
Pannobile Red 2015,Austria,Burgenland,Paul Achs,3.8,129,2015,29.90
Terra d'Eclano Aglianico Irpinia 2013,Italy,Irpinia,Quintodecimo,4.2,129,2013,43.65
Unico 2010,Spain,Ribera del Duero,Vega Sicilia,4.7,129,2010,320
Allnatt Rouge Souplesse 2018,France,Languedoc,Paul Mas,3.8,129,2018,7.49
Due Rosso 2017,Italy,Veneto,Giannitessari,4.0,129,2017,9.50
Saint-Émilion Grand Cru 2011,France,Saint-Émilion Grand Cru,Château Guinot,3.4,129,2011,15.90
Graves 2016,France,Graves,Château Haura,3.5,129,2016,17.95
Le Stanze Toscana 2011,Italy,Toscana,Poliziano,4.1,129,2011,33.95
Carmignano Riserva Trefiano 2012,Italy,Carmignano,Capezzana,4.0,129,2012,34.58
Pessac-Léognan (Grand Cru Classé de Graves) 2013,France,Pessac-Léognan,Château La Mission Haut-Brion,4.3,129,2013,261.25
Bordeaux Supérieur 2011,France,Bordeaux Supérieur,Château Lafite Monteil,3.5,129,2011,9.95
Coto Real Reserva 2005,Spain,Rioja,El Coto,3.8,129,2005,29.19
Liala Negroamaro 2018,Italy,Salento,Masseria Borgo dei Trulli,4.3,129,2018,19.95
Syrah 2017,South Africa,Franschhoek,La Motte Wine Estate,3.9,129,2017,16.95
Fetească Neagră 2017,Romania,Dealu Mare,Vitis Metamorfosis,3.8,129,2017,7.50
Conde de Valdemar Tempranillo 2018,Spain,Rioja,Bodegas Valdemar,3.5,129,2018,5.99
Lou Coucardié Rouge 2014,France,Costières-de-Nîmes,Michel Gassier,4.0,129,2014,24.09
Zweigelt 2016,Austria,Niederösterreich,Weingut Bründlmayer,3.5,129,2016,10.95
Cabernet Sauvignon 2016,South Africa,Stellenbosch,Neil Ellis,3.8,129,2016,12.90
Pinotage 2014,South Africa,Stellenbosch,Welmoed,3.2,129,2014,8.32
Campogiovanni Brunello di Montalcino 2012,Italy,Brunello di Montalcino,San Felice,4.2,1293,2012,33.85
Barolo 2014,Italy,Barolo,Borgogno,3.9,1295,2014,50.85
V Reserva 2014,Spain,Rioja,Bodegas Faustino,3.7,1296,2014,9.70
Chianti 2017,Italy,Chianti,Ricasoli,3.5,1297,2017,7.85
Terra Romana Fetească Neagră 2016,Romania,Dealu Mare,Serve,3.5,130,2016,10.50
Foundation Pinotage 2018,South Africa,Coastal Region,Nederburg,3.6,130,2018,5.81
Riserva Ducale Oro Chianti Classico (Gran Selezione Gold) 2015,Italy,Chianti Classico,Ruffino,3.9,130,2015,34.99
Langhe Nebbiolo 2017,Italy,Langhe,La Spinetta,3.9,130,2017,18.03
Cellar Selection Carmenère 2018,Chile,Central Valley,Santa Carolina,3.6,130,2018,5.95
Kallista 2013,South Africa,Stellenbosch,Vriesenhof,4.1,130,2013,29.19
4 Meses Red 2017,Spain,La Mancha,Volver,3.7,130,2017,8.38
Cabernet Sauvignon 2016,South Africa,Coastal Region,Fleur du Cap,3.6,130,2016,12.03
Cabernet Sauvignon (1685 series) 2016,South Africa,Stellenbosch,Boschendal,3.7,130,2016,16.99
Cabernet Sauvignon 2015,United States,Sonoma Valley,Schug,4.0,130,2015,38.94
Amarone della Valpolicella Monte Lodoletta 2012,Italy,Amarone della Valpolicella,Dal Forno Romano,4.7,130,2012,270.63
Clos Baltasar 2015,Spain,Calatayud,San Alejandro,3.9,130,2015,13.54
El Viejo 2017,Spain,Toro,Matsu,4.1,130,2017,28.30
Barolo La Serra 2014,Italy,Barolo,Mauro Molino,4.2,130,2014,48.64
The Montelena Estate Cabernet Sauvignon 2001,United States,Calistoga,Chateau Montelena,4.4,130,2001,153.90
Seven Flags Pinot Noir 2016,South Africa,Elgin,Paul Cluver,4.3,130,2016,56.74
Arborina Barolo 2013,Italy,Barolo,Elio Altare,4.3,130,2013,77.12
Reserva Special Blend 2016,Argentina,Patagonia,Bodega del Fin del Mundo,4.3,1302,2016,35.89
Carmenère Reserva 2017,Chile,Colchagua Valley,Apaltagua,3.6,1303,2017,10.50
Rioja La Vendimia 2017,Spain,Rioja,Palacios Remondo,3.7,1305,2017,8.87
The Footbolt Shiraz 2016,Australia,McLaren Vale,d'Arenberg,3.6,1307,2016,14.09
Bicicleta Cabernet Sauvignon 2017,Chile,Central Valley,Cono Sur,3.5,1308,2017,6.90
Rosso di Montalcino 2017,Italy,Rosso di Montalcino,Gianni Brunelli,4.0,131,2017,35.58
La Cumbre Syrah 2014,Chile,Aconcagua Valley,Errazuriz,4.3,131,2014,57.42
Grand Reserve 2015,South Africa,Stellenbosch,Delheim,4.0,131,2015,25.70
Rosso Piceno 2018,Italy,Rosso Piceno,Azienda Santa Barbara - Stefano Antonucci,3.5,131,2018,7.50
Saint-Joseph Les Capelets 2015,France,Saint-Joseph,Pierre Amadieu,4.0,131,2015,17.45
Brunello Di Montalcino Riserva 2009,Italy,Brunello di Montalcino,Caparzo,4.3,131,2009,48.02
Eight Songs Shiraz 2013,Australia,Barossa,Peter Lehmann,3.8,131,2013,35.09
Villa Cordevigo Rosso 2012,Italy,Rosso Veronese,Villabella,4.3,131,2012,23.91
Les Terroirs Côtes du Roussillon Villages 2015,France,Côtes du Roussillon Villages,Calmel & Joseph,3.7,131,2015,7.75
Pian delle Mole Langhe Nebbiolo 2016,Italy,Langhe,Giulia Negri,3.8,131,2016,15.50
Blauer Spätburgunder Trocken 2016,Germany,Pfalz,Knipser,3.9,131,2016,11.20
Liaison Pinot Noir 2017,Germany,Baden,Enderle & Moll,3.8,131,2017,19.72
Teroldego Rotaliano Vigilius 2015,Italy,Teroldego Rotaliano,De Vescovi Ulzbach,4.1,131,2015,24.27
Evaluna 2016,Italy,Garda,Sansonina,4.0,131,2016,16.44
Clancy's Red Blend 2016,Australia,Barossa,Peter Lehmann,3.5,131,2016,12.12
Syrah Pago Garduña 2014,Spain,Castilla y León,Abadia Retuerta,4.2,131,2014,73.11
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2011,France,Saint-Émilion Grand Cru,Château Trotte Vieille,4.1,131,2011,70.19
Aquilae Nero d'Avola 2014,Italy,Sicilia,CVA Canicatti,3.6,131,2014,8.60
Sorì Tildìn (Barbaresco) Langhe 2014,Italy,Langhe,Gaja,4.6,131,2014,470
Cervidoni Rosso Piceno 2016,Italy,Rosso Piceno,Tenuta di Tavignano,3.8,131,2016,7.70
Château d'Ampuis Côte-Rôtie 2016,France,Côte-Rôtie,E. Guigal,3.9,131,2016,99
Single Valley Lot Gran Reserva Syrah 2014,Chile,Colchagua Valley,Valdivieso,3.7,131,2014,14.57
Saperavi - Cabernet 2015,Georgia,Kakheti,Mukhrani,3.9,131,2015,14.90
Châteauneuf-du-Pape 2014,France,Châteauneuf-du-Pape,Château de Beaucastel,4.3,1310,2014,67.26
Douro Tinto 2018,Portugal,Douro,Casal Garcia,3.7,1311,2018,4.89
Pauillac (Grand Cru Classé) 2012,France,Pauillac,Château Lynch-Bages,4.3,1311,2012,106.25
Red Blend N.V.,Chile,Lontue Valley,Caballo Loco,4.4,13136,N.V.,34.07
Rara Neagra de Purcari 2018,Moldova,South Eastern,Château Purcari,4.1,1314,2018,10.98
Malbec Argentino 2017,Argentina,Mendoza,Catena Zapata,4.6,1314,2017,77.01
Saint-Julien (Grand Cru Classé) 2005,France,Saint-Julien,Château Gruaud Larose,4.3,1317,2005,94.95
Ebbio Nebbiolo Langhe 2018,Italy,Langhe,Fontanafredda,3.5,1318,2018,14.21
120 Cabernet Sauvignon 2017,Chile,Central Valley,Santa Rita,3.4,1318,2017,7.80
Château Trocard Bordeaux Supérieur 2012,France,Bordeaux Supérieur,Jean-Louis Trocard,3.2,132,2012,9.26
Saint-Émilion Grand Cru 2010,France,Saint-Émilion Grand Cru,Le Dome,4.6,132,2010,399.95
Barolo Riserva Monfortino 2013,Italy,Barolo,Giacomo Conterno,4.8,132,2013,1115.50
Tavkveri 2016,Georgia,Kakheti,Mukhrani,4.1,132,2016,16.90
The Glass Collection Syrah 2014,South Africa,Stellenbosch,Glenelly,3.5,132,2014,11.95
Rouge (Estate Reserve) 2013,South Africa,Stellenbosch,Morgenster Estate,4.1,132,2013,36.50
Primocolle Chianti Classico 2016,Italy,Chianti Classico,Villa Cerna,3.7,132,2016,14.73
Saint-Émilion Grand Cru 2013,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.8,132,2013,29.50
Les Crus Terrasses du Larzac 2016,France,Terrasses du Larzac,Calmel & Joseph,3.9,132,2016,12.62
Galantas Gran Reserva Cabernet Franc 2016,Chile,Maipo Valley,Haras de Pirque,3.8,132,2016,28.83
Cabernet Sauvignon 2017,South Africa,Western Cape,Protea,3.3,132,2017,8.95
Preta Cuvée Grande Reserva 2008,Portugal,Alentejano,Fitapreta,4.3,132,2008,35.09
Pinot Fin Bourgogne 2014,France,Bourgogne,Domaine Arnoux-Lachaux,3.6,132,2014,39.69
Musar Jeune Rouge 2016,Lebanon,Bekaa Valley,Château Musar,3.8,1323,2016,10.84
Reserva 2015,Spain,Rioja,Hacienda López de Haro,3.7,1323,2015,9.95
Bolgheri Superiore 2014,Italy,Bolgheri Superiore,Grattamacco,4.1,1325,2014,51.36
Barolo 2015,Italy,Barolo,Elio Altare,4.2,133,2015,62.57
Brunello di Montalcino 2015,Italy,Brunello di Montalcino,Fattoria dei Barbi,4.1,133,2015,32.88
Futures Shiraz 2015,Australia,Barossa,Peter Lehmann,3.8,133,2015,15.03
'Rosso & Bianco' Shiraz 2016,United States,California,Francis Ford Coppola,3.8,133,2016,13.25
Quinta Da Gricha Douro 2009,Portugal,Douro,Churchill's,4.6,133,2009,56.84
Barolo Prapò 2010,Italy,Barolo,Ettore Germano,4.2,133,2010,48.40
Rosso di Montepulciano Prugnolo 2018,Italy,Rosso di Montepulciano,Boscarelli,3.7,133,2018,12.90
Zephyrus Shiraz 2017,Australia,Barossa,Sons of Eden,4.0,133,2017,31.19
Teroldego Rotaliano 2016,Italy,Teroldego Rotaliano,De Vescovi Ulzbach,3.9,133,2016,11.45
Grand Grenache Gigondas 2012,France,Gigondas,Domaine Santa Duc,4.0,133,2012,45
12 e Mezzo Negroamaro del Salento 2017,Italy,Salento,Varvaglione,3.8,133,2017,7.31
La Bella Addormentata Terre di Chieti Sangiovese 2018,Italy,Terre di Chieti,Gran Sasso,3.6,133,2018,7.32
Twin Oaks Cabernet Sauvignon 2018,United States,California,Robert Mondavi,3.2,133,2018,7.69
Cuvée du Chaos Fleurie 2018,France,Fleurie,Les Bertrand,4.2,133,2018,22.62
Limited Release Cabernet Sauvignon 2014,United States,Napa Valley,Black Stallion,4.0,133,2014,106.89
Gries Lagrein Riserva 2017,Italy,Südtirol - Alto Adige,Nals Margreid,4.1,133,2017,19.90
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1998,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.1,133,1998,96.85
Cortevecchia Riserva Chianti Classico 2015,Italy,Chianti Classico,Principe Corsini,3.9,133,2015,16.99
Le Redini 2015,Italy,Toscana,Tenuta Degli Dei,4.0,133,2015,20.09
Sangre de Toro Original 2018,Spain,Catalunya,Torres,3.5,1331,2018,6.73
Haut-Médoc 2005,France,Haut-Médoc,Château Sociando-Mallet,4.2,1331,2005,59.95
The Guv’nor 2019,Spain,Valdepeñas,Félix Solís,4.0,1333,2019,6.20
Gran Reserva Rioja (Tempranillo) 2011,Spain,Rioja,Ramón Bilbao,3.9,1334,2011,18.23
Pinot Noir 2014,New Zealand,Marlborough,Brancott Estate,3.6,1335,2014,9.99
Pauillac (Grand Cru Classé) 2000,France,Pauillac,Château Pichon Baron,4.5,1339,2000,309.90
